randomSeed,temperature_annualMaxAt2m,temperature_annualMinAt2m,temperature_meanDailyFluctuation,temperature_dailyLowerDeviation,temperature_dailyUpperDeviation,solar_annualMax,solar_annualMin,solar_meanDailyFluctuation,CO2_annualMin,CO2_annualMax,CO2_meanDailyFluctuation,precipitation_yearlyMean,precipitation_yearlySd,precipitation_dailyCum_nSamples,precipitation_dailyCum_maxSampleSize,precipitation_dailyCum_plateauValue_yearlyMean,precipitation_dailyCum_plateauValue_yearlySd,precipitation_dailyCum_inflection1_yearlyMean,precipitation_dailyCum_inflection1_yearlySd,precipitation_dailyCum_rate1_yearlyMean,precipitation_dailyCum_rate1_yearlySd,precipitation_dailyCum_inflection2_yearlyMean,precipitation_dailyCum_inflection2_yearlySd,precipitation_dailyCum_rate2_yearlyMean,precipitation_dailyCum_rate2_yearlySd,currentYear,currentDayOfYear,precipitation_yearTotal,meanARID,elevation,DC,z,CN,FC,WHC,WP,MUF,albedo,crop,T_sum,HI,I_50A,I_50B,T_base,T_opt,RUE,I_50maxH,I_50maxW,T_heat,T_extreme,S_CO2,S_water,sowingDay,harvestDay,meanARID_grow,yield
25,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,245,255,1,876.6179347226422,142.2,200,10,0.54936615914031,0.1,40,5,0.07,0.02,240,20,0.08,0.02,0,365,974.4764531588672,0.5463000892388217,200,0.55,400,65,0.21,0.15,0.06,0.096,0.23,wheat 1,2200,0.36,480,200,0,15,1.24,100,25,34,45,0.08,0.4,330,105,,0
25,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,245,255,1,876.6179347226422,142.2,200,10,0.54936615914031,0.1,40,5,0.07,0.02,240,20,0.08,0.02,0,365,974.4764531588672,0.5463000892388217,200,0.55,400,65,0.21,0.15,0.06,0.096,0.23,wheat 2,2150,0.34,280,50,0,15,1.24,100,25,34,45,0.08,0.4,330,105,,0
25,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,245,255,1,876.6179347226422,142.2,200,10,0.54936615914031,0.1,40,5,0.07,0.02,240,20,0.08,0.02,0,365,974.4764531588672,0.5463000892388217,200,0.55,400,65,0.21,0.15,0.06,0.096,0.23,rice,2300,0.47,850,200,9,26,1.24,100,10,34,50,0.08,1,170,320,0.5534725218536245,316.6101584986264
25,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,245,255,1,876.6179347226422,142.2,200,10,0.54936615914031,0.1,40,5,0.07,0.02,240,20,0.08,0.02,0,365,974.4764531588672,0.5463000892388217,200,0.55,400,65,0.21,0.15,0.06,0.096,0.23,barley,1762,0.42,350,170,0,15,1.24,100,20,34,45,0.08,0.4,330,100,,0
25,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,245,255,1,876.6179347226422,142.2,200,10,0.54936615914031,0.1,40,5,0.07,0.02,240,20,0.08,0.02,0,365,974.4764531588672,0.5463000892388217,200,0.55,400,65,0.21,0.15,0.06,0.096,0.23,pearl millet,1220,0.25,245,120,10,33,1.9,100,5,35,47,0.08,0.05,200,320,0.53137924277205,366.71098500233813
25,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,245,255,1,876.6179347226422,142.2,200,10,0.54936615914031,0.1,40,5,0.07,0.02,240,20,0.08,0.02,0,365,974.4764531588672,0.5463000892388217,200,0.55,400,65,0.21,0.15,0.06,0.096,0.23,proso millet,1328,0.29,157.3,96.75,0,18,3,100,130,34,45,0.08,0.05,107,220,0.760890291727187,1167.1217407939505
25,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,245,255,1,876.6179347226422,142.2,200,10,0.54936615914031,0.1,40,5,0.07,0.02,240,20,0.08,0.02,1,365,673.3596310053389,0.6483830604196869,200,0.55,400,65,0.21,0.15,0.06,0.096,0.23,wheat 1,2200,0.36,480,200,0,15,1.24,100,25,34,45,0.08,0.4,330,105,0.4808754091425443,400.72951208576467
25,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,245,255,1,876.6179347226422,142.2,200,10,0.54936615914031,0.1,40,5,0.07,0.02,240,20,0.08,0.02,1,365,673.3596310053389,0.6483830604196869,200,0.55,400,65,0.21,0.15,0.06,0.096,0.23,wheat 2,2150,0.34,280,50,0,15,1.24,100,25,34,45,0.08,0.4,330,105,0.4808754091425443,415.66026741460234
25,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,245,255,1,876.6179347226422,142.2,200,10,0.54936615914031,0.1,40,5,0.07,0.02,240,20,0.08,0.02,1,365,673.3596310053389,0.6483830604196869,200,0.55,400,65,0.21,0.15,0.06,0.096,0.23,rice,2300,0.47,850,200,9,26,1.24,100,10,34,50,0.08,1,170,320,0.6363899637384265,252.55938784305044
25,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,245,255,1,876.6179347226422,142.2,200,10,0.54936615914031,0.1,40,5,0.07,0.02,240,20,0.08,0.02,1,365,673.3596310053389,0.6483830604196869,200,0.55,400,65,0.21,0.15,0.06,0.096,0.23,barley,1762,0.42,350,170,0,15,1.24,100,20,34,45,0.08,0.4,330,100,0.4660303711327932,485.4756379328187
25,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,245,255,1,876.6179347226422,142.2,200,10,0.54936615914031,0.1,40,5,0.07,0.02,240,20,0.08,0.02,1,365,673.3596310053389,0.6483830604196869,200,0.55,400,65,0.21,0.15,0.06,0.096,0.23,pearl millet,1220,0.25,245,120,10,33,1.9,100,5,35,47,0.08,0.05,200,320,0.5478719537011024,352.33534046862167
25,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,245,255,1,876.6179347226422,142.2,200,10,0.54936615914031,0.1,40,5,0.07,0.02,240,20,0.08,0.02,1,365,673.3596310053389,0.6483830604196869,200,0.55,400,65,0.21,0.15,0.06,0.096,0.23,proso millet,1328,0.29,157.3,96.75,0,18,3,100,130,34,45,0.08,0.05,107,220,0.9488190990579632,1109.0165421022903
